题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
慢性淋巴细胞性甲状腺炎并硬皮病1例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZkgX6XLe0ENaQrf74akgo7V0IFO78X9p0tasEhnkEQ_VILp45RslLG3ZlPZOoicCq-l-XOxcRX1gaY4vt6Yfc8wZJyFTI7asTfPVpVzaGSJdRsJuXiqgSg_OoXrlHImIA=&uniplatform=NZKPT&language=CHS,陈守金,四川医学,2/15/1998,期刊,,,慢性淋巴细胞性甲状腺炎并硬皮病１例成都市第三人民医院（６１００３１）陈守金患者，女性，６６岁。因咽部不适２年，腰部皮肤发硬６月。２年前出现咽部不适，异物感，诊断为双侧甲状腺肿，疑诊甲亢，未治疗。６月前发现颈部变粗，吞物不畅，Ｂ超提示双侧甲状腺结节样肿...
慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aqcgjBN0KDfbTDgO9Npm7ju2KStlFM5LjJCZ9b-bKzt4ljGpHyqvyIPdYphApe9lcFERL7XwI7zpXifT_UNKDGpvcK7T7Pm_M33yrm_0aqaQWYxfs0PAuR47jy57uIPIk=&uniplatform=NZKPT&language=CHS,常晓红,医学综述,5/15/1998,期刊,,,"<正>本病是一种自身免疫性疾病,故亦称自身免疫性甲状腺炎;由日本桥本策于1912年首先报道,又称桥本病(HT).是甲状腺炎中最常见的一种,由于甲状腺激素分泌减少所致一系列临床综合征.近年来对此病有不少研究新进展,现将有关临床问题综述如下.1 病因和发病机制本病可能是遗传易感性的基础上,出现先天性免疫监视缺陷,造成免疫功能紊乱,产生针对甲状腺的体液免疫和细胞免疫,致使甲状腺滤泡上皮破坏,形成本病.性激素可以影响甲状腺抗体的产生及甲状腺炎的外显率;感染及膳食中的碘化物是疾病发生的两个环境因素.近来研究表明:甲状腺微粒体抗原即是人甲状腺过氧化物酶,它是甲状腺激素合成过程中重要酶;妊娠期由于性激素及催乳素的改变.有免疫抑制现象,在产后可发生反跳或加重;增加碘的摄入,抗甲状腺球蛋"
慢性淋巴细胞性甲状腺炎误行手术18例分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aqcgjBN0KDfbTDgO9Npm7ju2KStlFM5Lhy-9RTANtGCUIcPMrBegeLeuGKfMZddRGvO2a3C6-hnF7kCmoxI3oLn_pM3rQUIxIeMmLJIHjPcmJijgwprpUe3VcQDd7Yk0M=&uniplatform=NZKPT&language=CHS,唐黎明,中国现代医学杂志,12/10/1998,期刊,,慢性淋巴细胞性甲状腺炎;,慢性淋巴细胞性甲状腺炎又称桥本氏甲状腺炎，是一自体免疫性疾病，一般不宜手术，但由于其临床表现的复杂多样，常被误行不必要的手术。本院自１９９４年１月～１９９６年１２月误行甲状腺大部切除而病理证实为慢性淋巴细胞性甲状腺炎１８例。现将其原因分析讨论。１临床...
内分泌和遗传性疾病,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bn_1mQYyerI5jNjRgwYWspfvdR9GoHgFyc-HDXSFLD6XOZviuuTxUbhcZDbvbYC2cOW8Jjc9Bb7csQIzL279k7dSl2wGquMrbghgmG6IwHoH6ZKrRPwdhn9h74nn4Vwc4=&uniplatform=NZKPT&language=CHS,,中国医学文摘.内科学,4/15/1998,期刊,,,~~
儿童慢性淋巴细胞性甲状腺炎诊断的若干问题,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bn_1mQYyerI5jNjRgwYWspfvdR9GoHgFyc-HDXSFLD6eXn5YlokdfN1tJ1SoVrdOkXTmezENr6MXbqmcMIr_p81lWcrL1QMhocR0477-xuuT1SiKTjeZ3nbA0YrYkgVZU=&uniplatform=NZKPT&language=CHS,卢荣清,中国医学文摘.内科学,6/15/1998,期刊,,,"<正> 慢性淋巴细胞性甲状腺炎(CLT)原称桥本甲状腺炎(HT),又名自身免疫性甲状腺炎(AIT)。在碘供充分地区,它是儿童及青少年甲状腺肿大(甲肿)及获得性甲状腺功能减低(甲减)最常见的原因。以往认为本病在儿科少见,目前认为儿童发生率呈增高趋势。国外报道美国发病率为1.2％,国内首都医院报道为0.3％。起病多见于6岁后年长儿,以"
慢性淋巴细胞性甲状腺炎误诊原因分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bEaKA00muXlULfuCgnIvYVC17QtbuTqaWtViYL54eMsRRuak_-6s8JKP6rA973P5Gr1IeMbjOWYPrNA_Vzud0nng4n_DD-r21p4Cv-hhttihDMzbuqU0TqmZ7Pf6-NP2k=&uniplatform=NZKPT&language=CHS,赵增双,中国综合临床,10/30/1999,期刊,,,
慢性淋巴细胞性甲状腺炎五例误诊分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bEaKA00muXlULfuCgnIvYVC17QtbuTqaVZ1cURv6TG0ppU0G54WOMbRROs2eSmJFXiORbP62Le2SuO3nIX9_PlSZhvKsfOFnleIK1Z2apU2FVEtfBWcbFLopbA34IbDl8=&uniplatform=NZKPT&language=CHS,俞福培,临床误诊误治,2/17/1999,期刊,,,慢性淋巴细胞性甲状腺炎（桥本病）是一种自身免疫性疾病，在缺乏免疫学检测的情况下，特别在基层医院，要确诊本病确有一定困难。现将我院１９８０～１９９５年误诊的５例进行分析。１临床资料５例均为女性，年龄４２～５８岁。误诊时间８个月～５年不等。临床表现均有甲...
慢性淋巴细胞性甲状腺炎58例误诊分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_am8ssXubXSVrX4eWZT0Jq51g_Yo9ZEflBd1zSeP3Ppxh5ihCCESt52iRHBKsoyWB6nkYYRIzR5F_6ufl-eW2NAvAFpBVr9w8kmKNG9e7dK1DmtY-iJTNbRNhEsCD31CFc=&uniplatform=NZKPT&language=CHS,"唐忠辉,李钟峰,池正忠",临床误诊误治,10/17/1999,期刊,,"甲状腺疾病; 甲状腺炎,自身免疫性/诊断; 误诊; 甲状腺肿瘤/诊断; 甲状腺功能亢进症/诊断; 甲状腺肿,结节性/诊断;",
慢性淋巴细胞性甲状腺炎25例误行手术分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_am8ssXubXSVrX4eWZT0Jq51g_Yo9ZEflBd1zSeP3Ppxlmb2jcKsWsLQw9oYbrkuR8V6nHCAoylZ9uj8tp10ID7sgtR8YHqZ3q0FKMsW05dDMelOMvLeaw_OO2jcAA05lo=&uniplatform=NZKPT&language=CHS,"周长民,张厚海,李贵春",临床误诊误治,12/17/1999,期刊,,"甲状腺炎,自身免疫性/诊断; 甲状腺切除术/外科学; 误诊; 甲状腺肿瘤/诊断; 甲状腺功能亢进症/诊断; 甲状腺腺瘤/诊断;",
慢性淋巴细胞性甲状腺炎合并甲状腺结节的诊治体会,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aEgOhSxuDeo0TOo76TQmjy_ddaTeDUbxqsK245Eh4rSuyIHOmB6cv8y2HxCplDH_2CMxGVzb_Hq1ek3uuFhGYzPtlXIqj_l2zufhqKwtQHEIv8KU_93p8KHETYbITqQuM=&uniplatform=NZKPT&language=CHS,"朱明炜,唐大年,曹金铎,赵旭,张良,赵增双",中国现代普通外科进展,11/15/1999,期刊,,甲状腺炎; 自身免疫性; 甲状腺结节;,"<正> 慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroidi-tis,CLT)也称之为桥本病或Hashimotos甲状腺炎,是一种自身免疫性疾病.CLT常同时合并甲状腺结节,给其诊断和治疗带来一定困难.我们1988～1997年共手术处理CLT合并甲状腺结节病人45例,现结合文献报告如下.1 临床资料1.1 一般资料 本组女性44例,男性1例;年龄29～71"
慢性淋巴细胞性甲状腺炎31例误诊分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aEgOhSxuDeo0TOo76TQmjy_ddaTeDUbxqEggnV2aldyVRZd2Pv3B-nS_RGl0eewISWiRkPb9GAmw01cdBOaTvRNNHfmSeFM_prBqiwNtduNQ-WSy8tBS2PLbQHq81UZJc=&uniplatform=NZKPT&language=CHS,"刘书哲,汪会玲,成伟",河北职工医学院学报,8/15/1999,期刊,,,"<正> 慢性淋巴细胞性甲状腺炎又称桥本氏病.临床上易误诊误治,现报告31例,并对其误诊误治原因进行分析讨论,提出减少误诊误治的几个环节,旨在提高本病的诊治水平."
16例慢性淋巴细胞性甲状腺炎手术治疗分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YVu0XFrRIWRGJVDEDEGrzr3EPKwRB1a1NPBjrobSmxfgz5aknF4nAvcpVs09zs6_PysgjHaGjtCcxJ0zffYGRFJBOtCIO8e4vwiv_aqBHOp0GdhUGrx3MVsdjdnWJqOvY=&uniplatform=NZKPT&language=CHS,尹子坤,云南医药,10/28/1999,期刊,,,
慢性淋巴细胞性甲状腺炎合并甲状腺癌1例报告并文献复习,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YVu0XFrRIWRGJVDEDEGrzr3EPKwRB1a1O3vDeisWJ03AgwCRi_WjeTRsZEHGJnzhAHyygm8CwsHDIEz5JSXFbvAEaEtPetD6MJwOZAdON_AkWIRRQamZm0VIWvx_PwI-Y=&uniplatform=NZKPT&language=CHS,"张伟,李洪岩,雷复华",肿瘤研究与临床,12/30/1999,期刊,,,
慢性淋巴细胞性甲状腺炎5例误诊分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_atjAs9TGntwQGrGnKNOdBHIbkik3lS35wCoJMOU7fz_-313nnrz0-YjA_HYJOaOp4sOXr4qUwashjvM07p0qzSnbwD-q3YIbAzPWrbeuj7Pjj8JLPEhzC7eHaOkl0u1zs=&uniplatform=NZKPT&language=CHS,崔其祥,中国临床医生,12/25/1999,期刊,,,
细针吸取细胞学检查诊断儿童慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_atjAs9TGntwQGrGnKNOdBHIbkik3lS35zifCriZqjnHyEj76wmUZB9QkQOG38pNr_Z7evjBTnFKmOh57a_jzo3mUHTwRVqLJ2uszebSYPrxuv9Bwy8QnUPNCJQjhWHYSU=&uniplatform=NZKPT&language=CHS,"王道昉,李萍,张春秀,刘瑞风,董俊华",临床儿科杂志,12/15/1999,期刊,,,"<正> 慢性淋巴细胞性甲状腺炎(CLT)是甲状腺炎中最多的一种,是儿童及青少年中甲状腺功能减低的最常见原因,我们对11例儿童甲状腺肿大者进行细针吸取细胞学检查(FNAB)确诊为本病,现总结如下。 临床资料 一、一般资料 男1例,女10例,男:女为1:10;年龄8～13岁(平均9.2岁),8～10岁2例,～13岁9例;自发病到确诊时间2个月～1年,平均"
多模态超声成像技术鉴别Graves病与慢性淋巴细胞性甲状腺炎的研究进展,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bEixuFws_iuhVtr_c8yP5uY2SznJPh8N7QUv_3ItAIrA1CLWXyr09lvxuJd_Rp5MZEacU21h6r0dyVX4ei6IicmqOZxsPrCRHnhuRh3IlOCkvPSMjpNN-5fAdKY0CH7ZM=&uniplatform=NZKPT&language=CHS,段鹤立;牛逸凡;王瑞琦;马晓娟,中国医疗设备,5/10/2024,期刊,,甲状腺; Graves病; 慢性淋巴细胞性甲状腺炎; 多模态超声;,Graves病与慢性淋巴细胞性甲状腺炎因缺乏典型临床症状极易误诊，及时诊断对改善患者生存质量至关重要，超声是评估甲状腺疾病的首要影像学手段。近年来，随着超微血流成像、剪切波弹性成像、计算机辅助诊断、超声造影等新技术出现，多模态超声诊断发展迅速，大量学者围绕甲状腺弥漫性病变展开研究。本文对多模态超声对Graves病与慢性淋巴细胞性甲状腺炎鉴别诊断的国内外现状及面临的问题进行综述，以期为临床诊疗中最大程度发挥多模态超声成像的技术优势，早期精准鉴别Graves病与慢性淋巴细胞性甲状腺炎提供理论依据。
慢性淋巴细胞性甲状腺炎致泛发性黏液性水肿1例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_al7eK-dLleTHvR8-t8o6jHM2Qn_mwcCJzyAtBOGwizZB1IPu6Pz6X4S47LcE4Zs-DZCUNb_TAEeQ9ihZ1rLwBRTIPer-XcBXH5QLBehLZJIW556Iu_6HjUsG_IIW1k1iMNlpj2VCytRg==&uniplatform=NZKPT&language=CHS,闫华;艾东方;马敬;王雪燕;季姗姗,临床皮肤科杂志,1/5/2009,期刊,,"甲状腺炎,淋巴细胞性,慢性; 水肿,黏液性;","<正> 患者男,70岁。因面部、躯干、四肢出现红斑及丘疹1个月余,水肿1周,于2006年8月入院。患者于1个月前因冠心病在当地医院应用肝素和黄芪等治疗,其后皮肤逐渐出现红斑及丘疹,伴瘙痒,遂停药并给予抗过敏治疗,效果不明显,继而"
分析慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的临床诊治,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_al7eK-dLleTHvR8-t8o6jHM2Qn_mwcCJz7vFIBiKfEmKG-fuH77F5FI9eyAtqyWgqWY8TzkGj5m-0LIWhiVFeD6l0SD_QDpAguOWbBaJlWs9kzjOpJP-W-L53ksCxZYpRTeAW6Nu1v9w==&uniplatform=NZKPT&language=CHS,门炳玲,中国继续医学教育,9/30/2015,期刊,,甲状腺炎; 甲状腺恶性肿瘤; 诊治;,"目的探讨慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的诊断与治疗。方法分析我院20例慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤患者的诊断及治疗过程。结果所有患者经医学检测确诊,患者血清甲状腺抗体明显升高,采用外科手术切除治疗术后2年内,16人无复发转移,3人医治无效死亡,1人随访失联。结论术前医学检测可提高诊断率,行外科切除手术可有效治疗慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤。"
彩超诊断弥漫性甲状腺肿和慢性淋巴细胞性甲状腺炎的价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bqknU6ZGwHOCZ16lI4ihOY2F3hhA-iM_MzRVp45q4oA7hLQ1LCqCthz1X4Re5-y9NxR_bmwqrxqwPHvUSBSxe__mN05oZpqFuUrvYvZvjBu9wfs-EOK4fBAjxKdEVGoVZHzfVQLAfK-w==&uniplatform=NZKPT&language=CHS,葛娜,中国医药指南,11/30/2018,期刊,,彩超; 诊断; 价值; 慢性淋巴细胞性甲状腺炎;,"目的探究弥漫性甲状腺肿和慢性淋巴细胞性甲状腺炎使用彩超诊断意义。方法选取我院2016年6日至2017年8月收入弥漫性甲状腺肿(观察组)和慢性淋巴细胞性甲状腺炎(对照组)患者各45例,共90例,所有患者经过病理检查全部确诊,所有患者使用彩超进行检查,分析彩超对于该疾病诊断率。结果诊断率比较中两组诊断率差异无意义(P> 0.05)。结论对于弥漫性甲状腺肿以及慢性淋巴细胞性甲状腺炎患者予以彩超进行诊断,临床上诊断率有效提高,便于医师对于疾病诊断,使患者得到有效治疗。"
超声弹性成像诊断Graves病和慢性淋巴细胞性甲状腺炎的价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bqknU6ZGwHOCZ16lI4ihOY2F3hhA-iM_Nl9E7F9OQTlOswBbklxWkSOzC75T90Ml_hOn62MBpTz5oLU79DJSV8cHCvj6oxZ1l60DNpuW2DtaHczq0XK96dS_JHq2wa-agkBbRKkORWGg==&uniplatform=NZKPT&language=CHS,刘胜玉,中国疗养医学,5/8/2019,期刊,,超声弹性成像; Graves病; 慢性淋巴细胞性甲状腺炎; 价值;,"目的探讨超声弹性成像诊断Graves病和慢性淋巴细胞性甲状腺炎的价值。方法选择2017年8月至2018年6月收治的Graves病患者和慢性淋巴细胞性甲状腺炎患者,各50例,均经病理检查确诊,所有患者均行超声弹性成像和常规超声诊断,对比诊断结果。结果两组患者甲状腺回声均以2级为主,差异无统计学意义,P>0.05;Graves病患者低回声区分布以2级为主,98%(49/50)的患者无网格样强回声,而慢性淋巴细胞甲状腺炎患者低回声区分布以3级为主,78%(39/50)的患者有网格样强回声,两组患者比较,差异有统计学意义,P<0.05;Graves病弹性图像多为1、2级,而慢性淋巴细胞甲状腺炎的弹性图像以3级为主,组间比较,差异有统计学意义;以病理诊断为金标准,弹性成像技术的诊断准确率明显高于常规彩超诊断,差异有统计学意义,P<0.05。结论超声弹性成像对于诊断Graves病和慢性淋巴细胞性甲状腺炎能从影像资料中获取更多信息,诊断准确率高。"
超声对不同功能状态下慢性淋巴细胞性甲状腺炎的诊断价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YRjGu07eMrViNEU43A0-RjAHhnZwxNTxn7oiz1LZRC407X9u-8xb-VwyJzCkOAaamtQenzTjMnYpGZUW0SNZjIUnyUh3H3WfhqN1ggCxObef9W9uOiLEZJdIlXPaiZvGRUhUABn3sEQQ==&uniplatform=NZKPT&language=CHS,王迪;刘亚超;邹曙东;谢国成;郑笑娟,现代实用医学,12/20/2019,期刊,,慢性淋巴细胞性甲状腺炎; 超声检查; 甲状腺功能状态;,"目的探讨超声对不同功能状态下慢性淋巴细胞性甲状腺炎(CLT)的诊断价值。方法收集CLT患者163例依据甲状腺功能检查结果分为两组,即甲状腺功能异常组(简称甲功异常组,包含甲状腺功能亢进患者及甲状腺功能减退患者)23例、甲状腺功能正常组(简称甲功正常组)140例。对所有入选患者行术前超声检查,记录并对比不同甲状腺功能状态下CLT患者的甲状腺峡部厚度、实质血流分级及甲状腺上动脉收缩期峰值流速(PSV)。同时比较CLT患者的良恶性发病情况及恶性患者的颈部淋巴结转移情况。结果甲功正常组与异常组的甲状腺峡部厚度差异无统计学意义(P> 0.05)。甲功正常组上动脉PSV值明显低于甲功异常组(P <0.05)。甲功异常组恶性肿瘤的发病率明显高于甲功正常组(P <0.05)。结论不同甲状腺功能状态下,CLT患者的超声声像图特征不同且甲状腺功能异常的患者更易合并甲状腺癌;因此在临床工作中,对该类患者更应予以重视。"
慢性淋巴细胞性甲状腺炎合并甲状腺结节的临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aw7hYHgnYCSILjzlVVzM3UVu867FIb1hoBratBAan1Q0kP0A_3zOjaE_DglQ-3vjWrik-sCLx80sSWiK-5-vliaU7jOa8LxDolgtnYYycys5xbpydHbt9bMYmiu4btmO5j5JPR9CpzcQ==&uniplatform=NZKPT&language=CHS,滕海杰;于海芸;李瑞东;王雪;刘颖磊,中西医结合心血管病电子杂志,5/28/2020,期刊,,淋巴细胞性甲状腺炎; 甲状腺结节; 免疫疾病; 诊断;,"目的分析临床中对于慢性淋巴细胞性甲状腺炎患者并发甲状腺结节的临床诊断措施。方法对我院2017年6月～2018年6月诊治的CLT并发甲状腺结节患者126例的临床资料进行回顾性分析与总结。结果 CLT合并甲状腺乳头状癌患者42例,合并结节性甲状腺肿者60例,合并甲状腺腺瘤者24例;甲状腺腺瘤组患者的单发结节占比较高,而结节性甲状腺肿组患者的钙化斑占比较其他两组患者明显更高,甲状腺乳头状癌组患者和结节性甲状腺肿组患者的点状钙化占比高于甲状腺腺瘤组患者,差异有统计学意义(P<0.05)。结论临床中CLT并发甲状腺微小癌患者较为常见,且患者发生淋巴结转移率相对较低。"
Gitelman综合征合并慢性淋巴细胞性甲状腺炎一例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aw7hYHgnYCSILjzlVVzM3UVu867FIb1hrumCf4VzWWJsoFKKfZiByCDZs4ewJWXrsl4JeMPpnikm-hf62NAMS-iz7s_L3jg4rZ9yLDR_f4tMb5LaVXNggfKdZpy5cl20ou4GsIsO3Z5A==&uniplatform=NZKPT&language=CHS,阚成霞;张君;陈艺芳;侯宁宁,上海医学,12/25/2020,期刊,,"Gitelman综合征; 甲状腺炎,自身免疫性; 低钾性周期性麻痹;","低钾血症是临床上常见的电解质代谢紊乱,甲状腺功能亢进患者由于细胞内外钾离子分布异常,常可导致低钾麻痹。Gitelman综合征在临床少见,仅5%Gitelman综合征患者合并自身免疫性甲状腺疾病。现报道1例Gitelman综合征合并慢性淋巴细胞性甲状腺炎的病例,结合文献分析其临床特点,以提高对该病的认知。"
硒酵母片联合左甲状腺素钠对2型糖尿病伴慢性淋巴细胞性甲状腺炎患者血糖水平及血清TPOAb、TGAb水平的影响,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_b0UB-HwLDhndSB33yqIOcr1xMDBPX3Jre8-5xP5o4PUtAmwwqqMyQWLzSWtPvvZl30YnldOJk9lrxUnTRiT3I6xmhPm3Z9nBN-bbeCNMktQEdjEKXOmRY5pODVqYEOqaUXa8AnarrNfA==&uniplatform=NZKPT&language=CHS,闫向东,慢性病学杂志,3/31/2021,期刊,,硒酵母片; 左甲状腺素钠; 2型糖尿病; 慢性淋巴细胞性甲状腺炎; 血糖水平; 甲状腺过氧化物酶抗体; 甲状腺球蛋白抗体;,"目的探讨硒酵母片联合左甲状腺素钠对2型糖尿病伴慢性淋巴细胞性甲状腺炎(CLT)患者血糖及血清甲状腺过氧化物酶抗体(TPOAb)及甲状腺球蛋白抗体(TGAb)水平的影响,为临床治疗提供参考。方法选取山东省聊城市茌平区人民医院2017年10月至2019年6月收治的83例2型糖尿病伴CLT患者,按随机数字表法分为对照组(42例)和观察组(41例)。两组患者均需进行降糖治疗,对照组采用左甲状腺素钠治疗,观察组采用硒酵母片联合左甲状腺素钠治疗,两组均治疗2个月。治疗前后,检测并比较两组TPOAb、TGAb、空腹血糖和餐后2 h血糖水平,观察并比较两组患者用药期间不良反应发生情况。结果治疗后,观察组血清TPOAb、TGAb水平均低于本组治疗前和同期对照组,差异均有统计学意义(P<0.05)。治疗后,观察组空腹血糖及餐后2 h血糖均低于本组治疗前和同期对照组,差异均有统计学意义(P<0.05)。观察组不良反应总发生率为2.44%,低于对照组的19.05%,差异有统计学意义(P<0.05)。结论硒酵母片联合左甲状腺素钠可有效控制2型糖尿病伴CLT患者的血糖水平,调节血清TPOAb、TGAb水平,且不良反应发生率低,临床效果更好。"
硒酵母、左甲状腺素钠片联合治疗慢性淋巴细胞性甲状腺炎临床疗效观察,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_b0UB-HwLDhndSB33yqIOcr1xMDBPX3JrdQXvyEb15FcN30AUu6v8NYVWZxduTysZWkWP5wOHYDRcwGcYxYI0fduaRSao_GugQ8FwxaOcQL6maYd5xbIWOdrhqb89GkgYWXSFFkNR0gXw==&uniplatform=NZKPT&language=CHS,张员霞,中国现代医生,5/8/2022,期刊,,硒酵母; 左甲状腺素钠片; 慢性淋巴细胞性甲状腺炎; 甲状腺功能;,目的 探究硒酵母、左甲状腺素钠片联合治疗慢性淋巴细胞性甲状腺炎的临床疗效。方法 选取2019年1月至2020年6月江西省景德镇市第三人民医院收治的90例甲状腺功能减退慢性淋巴细胞性甲状腺炎患者，随机分为两组（单一组、联合组）。单一组（n=45）应用左甲状腺素钠片治疗，联合组（n=45）应用甲状腺素钠片和硒酵母治疗。记录两组治疗6个月后的临床疗效、血清甲状腺自身抗体水平和甲状腺功能变化情况。结果 治疗后，联合组的总有效率95.56%，高于对照组的总有效率73.33%，两组比较，差异有统计学意义（P<0.05）。治疗后，两组的甲状腺球蛋白抗体（TG-Ab）、抗甲状腺过氧化物酶抗体（TPO-Ab）、促甲状腺激素（TSH）水平均低于治疗前，血清游离三碘甲状腺原氨酸（FT3）、血清游离甲状腺素（FT4）水平均高于治疗前，联合组的TG-Ab、TPO-Ab、TSH水平均低于单一组，且FT3、FT4水平均高于单一组，差异有统计学意义（P<0.05）。结论 慢性淋巴细胞性甲状腺炎患者联合应用硒酵母、左甲状腺素钠片治疗，疗效显著，且可改善其甲状腺自身抗体水平及甲状腺功能。
左甲状腺素钠治疗2型糖尿病伴慢性淋巴细胞性甲状腺炎的效果及对甲状腺功能的影响,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZqUNdGv0SeWIJAyUNDpSyj6MuFoVKDTrkIdOm2YKf0HnNFmI1zlCNIcT2IbdZX6aZ1Z1FkHvK_UBPAzej_cJ4hpkk9asq9-a6yQpTLv4FGYx4F3uOzwp5lkvCVob5E16FtJK28Bf8_2w==&uniplatform=NZKPT&language=CHS,赵君毅;朱华,临床医学研究与实践,7/29/2022,期刊,,2型糖尿病; 慢性淋巴细胞性甲状腺炎; 左甲状腺素钠;,目的 探讨左甲状腺素钠治疗2型糖尿病（T2DM）伴慢性淋巴细胞性甲状腺炎（CLT）的效果及对甲状腺功能的影响。方法 选取2019年1月至2020年12月我院收治的200例T2DM伴CLT患者，将其随机分为对照组（n=100，常规治疗+碘营养+硒酵母）和观察组（n=100，常规治疗+左甲状腺素钠+硒酵母）。比较两组的治疗效果。结果 观察组治疗总有效率高于对照组（P<0.05）。治疗后，观察组胰岛素抵抗指数（HOMA-IR）、糖化血红蛋白（HbA1c）低于对照组（P<0.05）；治疗后，观察组空腹血糖（FPG）水平与对照组比较，差异无统计学意义（P>0.05）。治疗后，观察组游离三碘甲状腺原氨酸（FT3）、游离甲状腺素（FT4）水平高于对照组，甲状腺球蛋白抗体（TGAb）、甲状腺过氧化物酶抗体（TPOAb）水平低于对照组（P<0.05）。两组患者的不良反应总发生率比较，差异无统计学意义（P>0.05）。结论 左甲状腺素钠治疗T2DM伴CLT效果显著，有利于改善患者甲状腺功能。
慢性淋巴细胞性甲状腺炎合并胸腺样分化癌1例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bduPs1rJnQ96vlK-e01alaBtEEQZ3hIbgjx0ndad8vCTrPO21NdG8YL6KcWp1K5qHUFU2D1OjsQ8UHHGOi1j4H118vp9UTiDZqRueOyR3WOMAJ0SjnEKtBIz-pmsyvN38lkQxbamkJ_A==&uniplatform=NZKPT&language=CHS,蔺广荣;邢立行;李圣陶;赵朋;吕春晖,中国耳鼻咽喉颅底外科杂志,12/30/2022,期刊,,,"<正>甲状腺胸腺样分化癌(carcinoma showing thymuslike differentiation,CASTLE)是一种罕见的甲状腺恶性肿瘤，大多数发生于甲状腺内，少部分发生于甲状腺外颈部软组织内，主要表现为颈部无痛性肿块，也有少数患者伴咳嗽、声音嘶哑、呼吸及吞咽困难等临床症状。1985年首次将其描述为甲状腺内的上皮样胸腺瘤[1]。1991年正式命名为CAS-TLE[2]，在2004年版WHO将其单独作为甲状腺肿瘤的分类[3]。由于该病发病率极低，目前国内外文献报道不足100例[4]，而合并慢性淋巴细胞性甲状腺炎国内外尚未见报道。本文报道1例慢性淋巴细胞性甲状腺炎合并CASTLE，总结CASTLE临床诊疗特点，并结合文献讨论，增强对该疾病的认识，避免误诊及过度诊治，改善患者预后。"
